Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,"Procedure*Post 1 Item","Procedure*Post 1 Trial Type","Procedure*Post 1 Max Time","Procedure*Post 1 Min Time",Procedure*,"Procedure*Post 1 Text",Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*post1_JOL,Response*post1_RT,Response*post1_RTfirst,Response*post1_RTlast,Response*Focus,Response*post1_Focus
M20307991HNK,0xbz94ox2z,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,1,2022-11-01T14:51:59+00:00,7.0297389030457,10,Pure_Forward.csv,FREQVersionB.csv,"Freq Pure F B","Freq Pure F B",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,,No,,,,,6649,,,-1,-1,,,,,,,,1
M20307991HNK,0xbz94ox2z,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,2,2022-11-01T14:52:05+00:00,6.3015990257263,10,Pure_Forward.csv,FREQVersionB.csv,"Freq Pure F B","Freq Pure F B",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate how often the words in each pair are used together, using a 0-100 scale.",,Instruct13,,No,,,,,5868,,,-1,-1,,,,,,,,1
M20307991HNK,0xbz94ox2z,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,3,2022-11-01T14:52:17+00:00,11.718647956848,10,Pure_Forward.csv,FREQVersionB.csv,"Freq Pure F B","Freq Pure F B",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that the words DOG and CAT are not used together often in language, while a rating of 100 indicates that DOG and CAT are commonly used together.",,Instruct14,,No,,,,,11257,,,-1,-1,,,,,,,,1
M20307991HNK,0xbz94ox2z,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,4,2022-11-01T14:52:34+00:00,16.659707069397,10,Pure_Forward.csv,FREQVersionB.csv,"Freq Pure F B","Freq Pure F B",,,,,,0,Instruct,-,15,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! Each word will be displayed on the computer screen for 4 seconds. You will then have 4 seconds to make your rating. The screen will automatically move to the next pair when time is up.",,Instruct15,,No,,,,,15699,,,-1,-1,,,,,,,,1
M20307991HNK,0xbz94ox2z,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,5,2022-11-01T14:52:37+00:00,3.716922044754,10,Pure_Forward.csv,FREQVersionB.csv,"Freq Pure F B","Freq Pure F B",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,,No,,,,,2779,,,-1,-1,,,,,,,,1
M20307991HNK,0xbz94ox2z,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,6,2022-11-01T14:52:49+00:00,12.058110952377,10,Pure_Forward.csv,FREQVersionB.csv,"Freq Pure F B","Freq Pure F B",CARROT,POTATO,BUFFER3,Buffer,91,56,Study,4,4,,Study/JOL,BUFFER,56,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,,5008,-1,-1,1,1
M20307991HNK,0xbz94ox2z,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,7,2022-11-01T14:53:02+00:00,12.129101037979,10,Pure_Forward.csv,FREQVersionB.csv,"Freq Pure F B","Freq Pure F B",SHRIMP,FISH,BUFFER3,Buffer,93,53,Study,4,4,,Study/JOL,BUFFER,53,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,90,5015,1236,1436,1,1
M20307991HNK,0xbz94ox2z,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,8,2022-11-01T14:53:12+00:00,10.497458934784,10,Pure_Forward.csv,FREQVersionB.csv,"Freq Pure F B","Freq Pure F B",CAMP,ADVENTURE,BUFFER3,Buffer,95,55,Study,4,4,,Study/JOL,BUFFER,55,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4001,,,-1,-1,,,,90,5009,2366,2536,1,1
M20307991HNK,0xbz94ox2z,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,9,2022-11-01T14:53:22+00:00,10.310119152069,10,Pure_Forward.csv,FREQVersionB.csv,"Freq Pure F B","Freq Pure F B",ICE,FROZEN,BUFFER3,Buffer,94,54,Study,4,4,,Study/JOL,BUFFER,54,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4001,,,-1,-1,,,,90,5010,1492,1679,1,1
M20307991HNK,0xbz94ox2z,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,10,2022-11-01T14:53:32+00:00,9.9917027950287,10,Pure_Forward.csv,FREQVersionB.csv,"Freq Pure F B","Freq Pure F B",NOODLE,STRING,BUFFER3,Buffer,92,52,Study,4,4,,Study/JOL,BUFFER,52,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4007,,,-1,-1,,,,70,5008,1204,1520,1,1
