Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,"Procedure*Post 1 Item","Procedure*Post 1 Trial Type","Procedure*Post 1 Max Time","Procedure*Post 1 Min Time",Procedure*,"Procedure*Post 1 Text",Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*post1_JOL,Response*post1_RT,Response*post1_RTfirst,Response*post1_RTlast,Response*Focus,Response*post1_Focus
M20308224_MM,3xc20ritg2,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,1,2022-10-23T15:23:04+00:00,6.270791053772,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,,No,,,,,6052,,,-1,-1,,,,,,,,1
M20308224_MM,3xc20ritg2,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,2,2022-10-23T15:23:12+00:00,7.6552200317383,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate how often the words in each pair are used together, using a 0-100 scale.",,Instruct13,,No,,,,,7363,,,-1,-1,,,,,,,,1
M20308224_MM,3xc20ritg2,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,3,2022-10-23T15:23:23+00:00,10.517977952957,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that the words DOG and CAT are not used together often in language, while a rating of 100 indicates that DOG and CAT are commonly used together.",,Instruct14,,No,,,,,10216,,,-1,-1,,,,,,,,1
M20308224_MM,3xc20ritg2,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,4,2022-10-23T15:23:39+00:00,16.271264076233,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,15,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! Each word will be displayed on the computer screen for 4 seconds. You will then have 4 seconds to make your rating. The screen will automatically move to the next pair when time is up.",,Instruct15,,No,,,,,15965,,,-1,-1,,,,,,,,1
M20308224_MM,3xc20ritg2,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,5,2022-10-23T15:23:41+00:00,2.419695854187,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,,No,,,,,2237,,,-1,-1,,,,,,,,1
M20308224_MM,3xc20ritg2,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,6,2022-10-23T15:23:51+00:00,9.6016821861267,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",SHRIMP,FISH,BUFFER3,Buffer,93,52,Study,4,4,,Study/JOL,BUFFER,52,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,,5010,-1,-1,1,1
M20308224_MM,3xc20ritg2,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,7,2022-10-23T15:24:01+00:00,9.7859117984772,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",CAMP,ADVENTURE,BUFFER3,Buffer,95,55,Study,4,4,,Study/JOL,BUFFER,55,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4003,,,-1,-1,,,,50,5010,2511,3025,1,1
M20308224_MM,3xc20ritg2,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,8,2022-10-23T15:24:10+00:00,9.626275062561,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",ICE,FROZEN,BUFFER3,Buffer,94,54,Study,4,4,,Study/JOL,BUFFER,54,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4006,,,-1,-1,,,,75,5010,1574,1798,1,1
M20308224_MM,3xc20ritg2,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,9,2022-10-23T15:24:20+00:00,9.6176891326904,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",NOODLE,STRING,BUFFER3,Buffer,92,53,Study,4,4,,Study/JOL,BUFFER,53,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4007,,,-1,-1,,,,65,5010,2264,3566,1,1
M20308224_MM,3xc20ritg2,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,10,2022-10-23T15:24:30+00:00,9.7394778728485,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",CARROT,POTATO,BUFFER3,Buffer,91,56,Study,4,4,,Study/JOL,BUFFER,56,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,20,5014,1863,2596,1,1
