Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,"Procedure*Post 1 Item","Procedure*Post 1 Trial Type","Procedure*Post 1 Max Time","Procedure*Post 1 Min Time",Procedure*,"Procedure*Post 1 Text",Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*post1_JOL,Response*post1_RT,Response*post1_RTfirst,Response*post1_RTlast,Response*Focus,Response*post1_Focus
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,1,2022-11-01T19:29:05+00:00,6.8589839935303,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,,No,,,,,6629,,,-1,-1,,,,,,,,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,2,2022-11-01T19:29:12+00:00,6.8588860034943,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate how often the words in each pair are used together, using a 0-100 scale.",,Instruct13,,No,,,,,6583,,,-1,-1,,,,,,,,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,3,2022-11-01T19:29:24+00:00,12.002609014511,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that the words DOG and CAT are not used together often in language, while a rating of 100 indicates that DOG and CAT are commonly used together.",,Instruct14,,No,,,,,11686,,,-1,-1,,,,,,,,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,4,2022-11-01T19:29:47+00:00,22.955609083176,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,15,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! Each word will be displayed on the computer screen for 4 seconds. You will then have 4 seconds to make your rating. The screen will automatically move to the next pair when time is up.",,Instruct15,,No,,,,,22661,,,-1,-1,,,,,,,,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,5,2022-11-01T19:29:51+00:00,4.4181079864502,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,,No,,,,,4137,,,-1,-1,,,,,,,,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,6,2022-11-01T19:30:01+00:00,9.6212728023529,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",SHRIMP,FISH,BUFFER3,Buffer,93,56,Study,4,4,,Study/JOL,BUFFER,56,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,,5011,2087,2503,1,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,7,2022-11-01T19:30:11+00:00,9.5893070697784,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",NOODLE,STRING,BUFFER3,Buffer,92,53,Study,4,4,,Study/JOL,BUFFER,53,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,50,5009,1138,1227,1,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,8,2022-11-01T19:30:20+00:00,9.5975539684296,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",CAMP,ADVENTURE,BUFFER3,Buffer,95,54,Study,4,4,,Study/JOL,BUFFER,54,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,70,5009,832,990,1,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,9,2022-11-01T19:30:30+00:00,9.6834721565247,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",ICE,FROZEN,BUFFER3,Buffer,94,52,Study,4,4,,Study/JOL,BUFFER,52,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4010,,,-1,-1,,,,75,5012,1872,2329,1,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,10,2022-11-01T19:30:40+00:00,9.6230969429016,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",CARROT,POTATO,BUFFER3,Buffer,91,55,Study,4,4,,Study/JOL,BUFFER,55,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,20,5009,1704,1750,1,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,11,2022-11-01T19:30:49+00:00,9.6567170619965,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",SWING,FOG,Study2,U,175,73,Study,4,4,,Study/JOL,"Study Phase",73,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4000,,,-1,-1,,,,5,5008,798,798,1,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,12,2022-11-01T19:30:59+00:00,9.6213629245758,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",NULL,COUGH,Study2,U,156,61,Study,4,4,,Study/JOL,"Study Phase",61,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,5,5010,494,494,1,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,13,2022-11-01T19:31:08+00:00,9.5831730365753,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",GIVE,STEAK,Study1,U,8,23,Study,4,4,,Study/JOL,"Study Phase",23,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,20,5011,2328,2752,1,1
m20294324sw,rdjknwj6ul,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,14,2022-11-01T19:31:18+00:00,9.5768599510193,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",FLOOR,DISCOVER,Study2,U,101,70,Study,4,4,,Study/JOL,"Study Phase",70,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,30,5008,1089,1177,1,1
