Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,"Procedure*Post 1 Item","Procedure*Post 1 Trial Type","Procedure*Post 1 Max Time","Procedure*Post 1 Min Time",Procedure*,"Procedure*Post 1 Text",Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*post1_JOL,Response*post1_RT,Response*post1_RTfirst,Response*post1_RTlast,Response*Focus,Response*post1_Focus
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,1,2022-05-05T04:37:56+00:00,34.715023040771,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,,No,,,,,34552,,,-1,-1,,,,,,,,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,2,2022-05-05T04:38:02+00:00,5.8530480861664,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate how often the words in each pair are used together, using a 0-100 scale.",,Instruct13,,No,,,,,5648,,,-1,-1,,,,,,,,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,3,2022-05-05T04:38:12+00:00,10.845181941986,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that the words DOG and CAT are not used together often in language, while a rating of 100 indicates that DOG and CAT are commonly used together.",,Instruct14,,No,,,,,10663,,,-1,-1,,,,,,,,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,4,2022-05-05T04:38:28+00:00,15.981190919876,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,-,15,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! Each word will be displayed on the computer screen for 4 seconds. You will then have 4 seconds to make your rating. The screen will automatically move to the next pair when time is up.",,Instruct15,,No,,,,,15783,,,-1,-1,,,,,,,,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,5,2022-05-05T04:38:31+00:00,2.5011880397797,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,,No,,,,,2252,,,-1,-1,,,,,,,,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,6,2022-05-05T04:38:40+00:00,9.3625719547272,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",NOODLE,STRING,BUFFER3,Buffer,92,55,Study,4,4,,Study/JOL,BUFFER,55,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4001,,,-1,-1,,,,57,5003,2832,2945,1,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,7,2022-05-05T04:38:50+00:00,9.5041260719299,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",CAMP,ADVENTURE,BUFFER3,Buffer,95,56,Study,4,4,,Study/JOL,BUFFER,56,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4006,,,-1,-1,,,,88,5029,800,1401,1,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,8,2022-05-05T04:38:59+00:00,9.4503579139709,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",SHRIMP,FISH,BUFFER3,Buffer,93,52,Study,4,4,,Study/JOL,BUFFER,52,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4021,,,-1,-1,,,,90,5003,655,992,1,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,9,2022-05-05T04:39:09+00:00,9.50270819664,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",CARROT,POTATO,BUFFER3,Buffer,91,53,Study,4,4,,Study/JOL,BUFFER,53,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,30,5014,389,4765,1,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,10,2022-05-05T04:39:18+00:00,9.4294948577881,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",ICE,FROZEN,BUFFER3,Buffer,94,54,Study,4,4,,Study/JOL,BUFFER,54,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4001,,,-1,-1,,,,95,5005,1865,2090,1,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,11,2022-05-05T04:39:28+00:00,9.4845221042633,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",SACKING,DIETARY,Study2,U,97,88,Study,4,4,,Study/JOL,"Study Phase",88,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4003,,,-1,-1,,,,10,5002,392,499,1,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,12,2022-05-05T04:39:37+00:00,9.3709468841553,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",SPELL,BONE,Study2,U,174,63,Study,4,4,,Study/JOL,"Study Phase",63,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,5,5003,1074,1074,1,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,13,2022-05-05T04:39:46+00:00,9.3912260532379,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",NULL,COUGH,Study2,U,156,70,Study,4,4,,Study/JOL,"Study Phase",70,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4004,,,-1,-1,,,,2,5002,1084,1084,1,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,14,2022-05-05T04:39:56+00:00,9.4241940975189,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",SLIM,KNOW,Study2,U,164,59,Study,4,4,,Study/JOL,"Study Phase",59,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,4,5002,387,387,1,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,15,2022-05-05T04:40:05+00:00,9.5882940292358,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",DESIRE,NOISE,Study2,U,169,85,Study,4,4,,Study/JOL,"Study Phase",85,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,2,5005,763,763,1,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,16,2022-05-05T04:40:15+00:00,9.3950989246368,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",FLOAT,HARMONY,Study2,U,161,60,Study,4,4,,Study/JOL,"Study Phase",60,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,17,5002,546,820,1,1
w10036694_mbf,l35amzmsru,Nick_Dissertation_EX2_EP,1,17,2022-05-05T04:40:24+00:00,9.6184830665588,12,Pure_Unrelated.csv,FREQVersionB.csv,"Freq Pure U B","Freq Pure U B",Business,Death,Study2,U,102,73,Study,4,4,,Study/JOL,"Study Phase",73,FREQ,5,5,,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",4002,,,-1,-1,,,,20,5003,357,438,1,1
