Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,1,2021-08-29T07:27:55-07:00,12.89440703392,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",,,,,,0,Instruct,-,10,"Please study each of the following word pairs. Remember that your memory will be tested! Each pair will be displayed on the computer screen and will automatically advance to the next pair. Press ENTER when you are ready to begin.",Initial_Instruct,Instruct1,12076,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,2,2021-08-29T07:28:04-07:00,8.7993240356445,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",SPACE,JAM,BUFFER1,Buffer,5,3,STUDY,8,8,,Study/JOL,BUFFER,8006,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,3,2021-08-29T07:28:13-07:00,8.9185638427734,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",SCARE,HIDE,BUFFER1,Buffer,4,4,STUDY,8,8,,Study/JOL,BUFFER,8009,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,4,2021-08-29T07:28:22-07:00,8.7777531147003,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",TREES,GREEN,BUFFER1,Buffer,1,5,STUDY,8,8,,Study/JOL,BUFFER,8004,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,5,2021-08-29T07:28:31-07:00,8.7189929485321,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",BASEBALL,CATCHER,BUFFER1,Buffer,2,6,STUDY,8,8,,Study/JOL,BUFFER,8007,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,6,2021-08-29T07:28:39-07:00,8.7712910175323,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",PEANUT,BUTTER,BUFFER1,Buffer,3,2,STUDY,8,8,,Study/JOL,BUFFER,8044,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,7,2021-08-29T07:28:48-07:00,8.7864921092987,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",CASH,WOULD,Study1,U,83,33,STUDY,8,8,,Study/JOL,"Study Phase",8006,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,8,2021-08-29T07:28:57-07:00,8.7776508331299,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",ROOT,PLANT,Study1,F,13,40,STUDY,8,8,,Study/JOL,"Study Phase",8006,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,9,2021-08-29T07:29:06-07:00,8.763200044632,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",LIFT,WOMAN,Study1,U,69,36,STUDY,8,8,,Study/JOL,"Study Phase",8010,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,10,2021-08-29T07:29:14-07:00,8.7120721340179,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",TUNA,FISH,Study1,F,25,11,STUDY,8,8,,Study/JOL,"Study Phase",8006,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,11,2021-08-29T07:29:23-07:00,8.9550979137421,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",WAY,OUT,Study1,F,16,26,STUDY,8,8,,Study/JOL,"Study Phase",8005,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,12,2021-08-29T07:29:33-07:00,9.2527499198914,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",FIX,HAND,Study1,U,75,31,STUDY,8,8,,Study/JOL,"Study Phase",8013,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,13,2021-08-29T07:29:41-07:00,8.7445960044861,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",BITTER,COLD,Study1,F,12,22,STUDY,8,8,,Study/JOL,"Study Phase",8005,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,14,2021-08-29T07:29:50-07:00,8.7200241088867,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",VALLEY,ADD,Study1,U,82,19,STUDY,8,8,,Study/JOL,"Study Phase",8004,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,15,2021-08-29T07:29:59-07:00,9.3217208385468,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",SOON,BELT,Study1,U,70,41,STUDY,8,8,,Study/JOL,"Study Phase",8007,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,16,2021-08-29T07:30:08-07:00,8.8087620735168,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",DIETARY,SACKING,Study1,U,67,20,STUDY,8,8,,Study/JOL,"Study Phase",8006,,,-1,-1,,,,1
w10075075,mgredd6x1q,Nick_Dissertation_EX2_EP,1,17,2021-08-29T07:30:17-07:00,8.760999917984,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",ARTERY,BRONZE,Study1,U,74,14,STUDY,8,8,,Study/JOL,"Study Phase",8004,,,-1,-1,,,,1
