Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10086527,hbnfzfmp5y,Nick_Dissertation_EX2_EP,1,1,2021-09-14T12:42:44-07:00,29.154839038849,2,Mixed_Stim.csv,READVersionB.csv,"Read Mixed B","Read Mixed B",,,,,,0,Instruct,-,10,"Please study each of the following word pairs. Remember that your memory will be tested! Each pair will be displayed on the computer screen and will automatically advance to the next pair. Press ENTER when you are ready to begin.",Initial_Instruct,Instruct1,28748,,,-1,-1,,,,1
w10086527,hbnfzfmp5y,Nick_Dissertation_EX2_EP,1,2,2021-09-14T12:42:52-07:00,8.4956459999084,2,Mixed_Stim.csv,READVersionB.csv,"Read Mixed B","Read Mixed B",NOODLE,STRING,BUFFER3,Buffer,92,54,STUDY,8,8,,Study/JOL,BUFFER,8005,,,-1,-1,,,,1
w10086527,hbnfzfmp5y,Nick_Dissertation_EX2_EP,1,3,2021-09-14T12:43:01-07:00,8.457955121994,2,Mixed_Stim.csv,READVersionB.csv,"Read Mixed B","Read Mixed B",SHRIMP,FISH,BUFFER3,Buffer,93,55,STUDY,8,8,,Study/JOL,BUFFER,8005,,,-1,-1,,,,1
w10086527,hbnfzfmp5y,Nick_Dissertation_EX2_EP,1,4,2021-09-14T12:43:09-07:00,8.4841639995575,2,Mixed_Stim.csv,READVersionB.csv,"Read Mixed B","Read Mixed B",CAMP,ADVENTURE,BUFFER3,Buffer,95,53,STUDY,8,8,,Study/JOL,BUFFER,8004,,,-1,-1,,,,1
w10086527,hbnfzfmp5y,Nick_Dissertation_EX2_EP,1,5,2021-09-14T12:43:18-07:00,8.402058839798,2,Mixed_Stim.csv,READVersionB.csv,"Read Mixed B","Read Mixed B",CARROT,POTATO,BUFFER3,Buffer,91,52,STUDY,8,8,,Study/JOL,BUFFER,8011,,,-1,-1,,,,1
w10086527,hbnfzfmp5y,Nick_Dissertation_EX2_EP,1,6,2021-09-14T12:43:26-07:00,8.4066150188446,2,Mixed_Stim.csv,READVersionB.csv,"Read Mixed B","Read Mixed B",ICE,FROZEN,BUFFER3,Buffer,94,56,STUDY,8,8,,Study/JOL,BUFFER,8006,,,-1,-1,,,,1
w10086527,hbnfzfmp5y,Nick_Dissertation_EX2_EP,1,7,2021-09-14T12:43:34-07:00,8.3863129615784,2,Mixed_Stim.csv,READVersionB.csv,"Read Mixed B","Read Mixed B",BOTH,OUNCE,Study2,U,172,59,STUDY,8,8,,Study/JOL,"Study Phase",8006,,,-1,-1,,,,1
w10086527,hbnfzfmp5y,Nick_Dissertation_EX2_EP,1,8,2021-09-14T12:43:43-07:00,8.3964459896088,2,Mixed_Stim.csv,READVersionB.csv,"Read Mixed B","Read Mixed B",ADJOURN,END,Study2,F,101,67,STUDY,8,8,,Study/JOL,"Study Phase",8004,,,-1,-1,,,,1
w10086527,hbnfzfmp5y,Nick_Dissertation_EX2_EP,1,9,2021-09-14T12:43:51-07:00,8.5086250305176,2,Mixed_Stim.csv,READVersionB.csv,"Read Mixed B","Read Mixed B",SCALP,HEAD,Study2,F,105,72,STUDY,8,8,,Study/JOL,"Study Phase",8009,,,-1,-1,,,,1
w10086527,hbnfzfmp5y,Nick_Dissertation_EX2_EP,1,10,2021-09-14T12:44:00-07:00,8.4484701156616,2,Mixed_Stim.csv,READVersionB.csv,"Read Mixed B","Read Mixed B",MIRROR,CHILDREN,Study2,U,174,60,STUDY,8,8,,Study/JOL,"Study Phase",8007,,,-1,-1,,,,1
