Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
M20316883,m6cpp8rqxu,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,1,2022-11-16T01:22:19+00:00,24.104336977005,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",,,,,,0,Instruct,-,10,"Please study each of the following word pairs. Remember that your memory will be tested! Each pair will be displayed on the computer screen and will automatically advance to the next pair. Press ENTER when you are ready to begin.",Initial_Instruct,Instruct1,23896,,,-1,-1,,,,1
M20316883,m6cpp8rqxu,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,2,2022-11-16T01:22:28+00:00,8.3045628070831,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",PEANUT,BUTTER,BUFFER1,Buffer,3,4,STUDY,8,8,,Study/JOL,BUFFER,8002,,,-1,-1,,,,1
M20316883,m6cpp8rqxu,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,3,2022-11-16T01:22:36+00:00,8.2872180938721,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",SCARE,HIDE,BUFFER1,Buffer,4,2,STUDY,8,8,,Study/JOL,BUFFER,8002,,,-1,-1,,,,1
M20316883,m6cpp8rqxu,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,4,2022-11-16T01:22:44+00:00,8.2919609546661,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",BASEBALL,CATCHER,BUFFER1,Buffer,2,5,STUDY,8,8,,Study/JOL,BUFFER,8001,,,-1,-1,,,,1
M20316883,m6cpp8rqxu,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,5,2022-11-16T01:22:53+00:00,8.2990570068359,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",TREES,GREEN,BUFFER1,Buffer,1,6,STUDY,8,8,,Study/JOL,BUFFER,8002,,,-1,-1,,,,1
M20316883,m6cpp8rqxu,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,6,2022-11-16T01:23:01+00:00,8.2918491363525,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",SPACE,JAM,BUFFER1,Buffer,5,3,STUDY,8,8,,Study/JOL,BUFFER,8002,,,-1,-1,,,,1
M20316883,m6cpp8rqxu,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,7,2022-11-16T01:23:09+00:00,8.287743806839,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",HIDE,SICK,Study1,U,84,34,STUDY,8,8,,Study/JOL,"Study Phase",8002,,,-1,-1,,,,1
M20316883,m6cpp8rqxu,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,8,2022-11-16T01:23:18+00:00,8.2988080978394,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",DEBATE,SIGHT,Study1,U,73,38,STUDY,8,8,,Study/JOL,"Study Phase",8002,,,-1,-1,,,,1
M20316883,m6cpp8rqxu,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,9,2022-11-16T01:23:26+00:00,8.2829859256744,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",STRONG,ACCIDENT,Study1,U,80,16,STUDY,8,8,,Study/JOL,"Study Phase",8002,,,-1,-1,,,,1
M20316883,m6cpp8rqxu,Nick_Dissertation_EX2_EP_MSU_TEXAS,1,10,2022-11-16T01:23:34+00:00,8.2946500778198,1,Mixed_Stim.csv,READVersionA.csv,"Read Mixed A","Read Mixed A",MACHINE,POSITION,Study1,U,76,37,STUDY,8,8,,Study/JOL,"Study Phase",8002,,,-1,-1,,,,1
